Mitsubishi;Outlander;2012;ADT545;Negro
Toyota;4Runner;1989;WSJ938;Rojo
Honda;FR-V;2008;KKL252;Blanco
Honda;Civic Type-R;1998;TCX589;Rojo
Toyota;Alpharad;2012;YAE569;Burdeo
Toyota;Celica;2006;AXY314;Rojo
Mitsubishi;Galant;1981;VAY727;Morado
Ferrari;F430;2007;IIQ565;Blanco
Honda;NSX;2755;BWP358;Azul
Toyota;GT86;2016;CMB597;Blanco
Ferrari;Enzo;2002;DDB823;Blanco
Toyota;T100;1997;BUO419;Azul
Mitsubishi;Lancer;1994;GKN295;Blanco
Toyota;2000GT;1970;NCX318;Rojo
Mitsubishi;Lancer Evolution;2005;JTK321;Morado
Ferrari;F355;1999;PID368;Burdeo
Ferrari;F430;2009;VHQ377;Rojo
Mitsubishi;Galant;1981;KKB273;Blanco
Toyota;GT86;2014;OWV819;Azul
Ferrari;Purosangue;2022;WMG275;Verde
